COD. ARTIC.;NOMBRE;STOCK;LISTA 1;LISTA 2;LISTA 3;LISTA 4;CATEGORIA
205;TONER ALTER. SAMSUNG D101S;230,000;1820,45;1713,36;1606,28;1392,11;CARTUCHO TONER
206;TONER ALTER. SAMSUNG 111L ;300,000;1941,81;1827,58;1713,36;1484,91;CARTUCHO TONER
207;TONER ALTER. SAMSUNG 104 LASER 1665;30,000;2184,53;2056,03;1927,53;1670,53;CARTUCHO TONER
208;TONER ALTER. BROTHER TN410/450 LASER HL-2130;200,000;1213,63;1142,24;1070,85;928,07;CARTUCHO TONER
209;TONER ALTER. BROTHER TN1060;1,710,000;970,90;913,79;856,68;742,46;CARTUCHO TONER
210;TONER ALTER. BROTHER TN650/580 ;30,000;1820,45;1713,36;1606,28;1392,11;CARTUCHO TONER
211;CINTA GTC CITIZEN GSX140/200;140,000;291,27;274,14;257,00;222,74;CINTA MATRIZ DE PUNTO
212;CINTA GTC EPSON MX80/LX-810;1,050,000;291,27;274,14;257,00;222,74;CINTA MATRIZ DE PUNTO
213;CINTA GTC EPSON MX100;60,000;267,00;251,29;235,59;204,18;CINTA MATRIZ DE PUNTO
214;CINTA GTC EPSON LX350;140,000;388,36;365,52;342,67;296,98;CINTA MATRIZ DE PUNTO
215;CINTA GTC EPSON ERC 30/34/38;-30,000;218,45;205,60;192,75;167,05;CINTA MATRIZ DE PUNTO
216;CINTA GTC OKIDATA 182 (HASAR SMH/P-340F);1,500,000;242,73;228,45;214,17;185,61;CINTA MATRIZ DE PUNTO
217;CINTA GTC STAR SP200 (HASAR SMH/P 715);350,000;242,73;228,45;214,17;185,61;CINTA MATRIZ DE PUNTO
218;CINTA GTC EPSON FX890;310,000;436,91;411,21;385,51;334,11;CINTA MATRIZ DE PUNTO
219;RESMA TEMPO PREMIUN A4 80G;50,000;963,77;899,51;835,26;771,01;ARTICULOS DE LIBRERIA
220;RESMA AUTOR OFICIO 80 G;0,0000;803,14;696,05;696,05;910,22;ARTICULOS DE LIBRERIA
221;FOLIO A4 POR UNIDAD;390,000;3,86;3,62;3,15;4,83;ARTICULOS DE LIBRERIA
222;FOLIO LEGAL POR UNIDAD;750,000;4,21;3,96;3,42;5,28;ARTICULOS DE LIBRERIA
224;PAPEL MATE P/SUBLIMAR A4 110G 50 H REDCORE;20,000;364,09;321,26;278,42;428,34;ARTICULOS DE LIBRERIA
225;PAPEL FOTO GLOSSY A4 140G 50 H REDCORE;10,000;485,45;428,34;371,23;571,12;ARTICULOS DE LIBRERIA
226;PAPEL FOTO GLOSSY A4 180G 20 H ;10,000;388,36;342,67;296,98;456,90;ARTICULOS DE LIBRERIA
